id,HIV Testing,HIV Prep,total
AF,41,5,46
AL,14,9,23
DZ,92,15,107
AD,6,,6
AO,44,3,47
AQ,100,3,103
AG,72,6,78
AR,1027,233,1260
AM,123,15,138
AW,11,1,12
AU,7327,2384,9711
AT,1320,60,1380
AZ,19,,19
BH,77,6,83
BD,465,70,535
BB,301,19,320
BY,56,,56
BE,1080,258,1338
BZ,52,7,59
BJ,7,1,8
BM,91,,91
BO,24,3,27
BA,29,2,31
BW,5807,224,6031
BR,755,166,921
IO,24,1,25
BN,59,1,60
BG,62,6,68
KH,228,26,254
CM,547,38,585
CA,19371,5582,24953
CV,116,,116
KY,91,2,93
CL,221,59,280
CN,1127,68,1195
CX,5,,5
CO,311,74,385
CR,96,19,115
HR,32,7,39
CU,57,5,62
CY,130,11,141
CZ,31,5,36
CG,19,2,21
DK,590,78,668
DJ,20,1,21
DM,39,3,42
DO,199,23,222
EC,110,19,129
EG,512,59,571
SV,47,24,71
ER,19,,19
EE,202,75,277
ET,577,89,666
FJ,88,6,94
FI,310,53,363
FR,1946,669,2615
PF,28,2,30
GE,27300,4834,32134
DE,2161,616,2777
GH,5729,295,6024
GR,431,136,567
GL,16,,16
GD,85,1,86
GP,35,1,36
GT,38,10,48
GY,259,71,330
HT,186,11,197
HN,37,1,38
HK,411,67,478
HU,131,9,140
IS,152,12,164
IN,13930,1624,15554
ID,3296,504,3800
IR,66,3,69
IQ,85,5,90
IE,4053,1737,5790
IL,249,36,285
IT,1084,157,1241
JM,857,78,935
JP,1217,246,1463
JO,1981,291,2272
KZ,279,45,324
KE,20842,3954,24796
KW,105,8,113
KG,10,2,12
LV,29,8,37
LB,126,20,146
LS,409,68,477
LY,51,1,52
LT,12,,12
LU,92,15,107
MO,14,5,19
MK,12,2,14
MG,140,7,147
MW,1220,50,1270
MY,2752,541,3293
MV,228,24,252
MT,238,48,286
MQ,3,1,4
MU,32,11,43
MX,781,256,1037
MD,49,15,64
MC,9,5,14
MN,46,11,57
ME,30,1,31
MA,74,15,89
MZ,70,2,72
MM,70,5,75
NA,1628,149,1777
NP,437,51,488
NL,1271,302,1573
NZ,536,113,649
NI,37,9,46
NG,51138,2248,53386
KP,40,2,42
NO,435,93,528
OM,97,3,100
PK,3187,317,3504
PS,2,,2
PA,109,50,159
PG,65,41,106
PY,17,5,22
PE,84,32,116
PH,12095,1220,13315
PL,255,66,321
PT,512,153,665
QA,210,5,215
LV,6,1,7
LT,15,1,16
RE,6,1,7
RO,184,25,209
RU,365,57,422
RW,956,88,1044
KN,1,,1
VC,9,,9
WS,12,,12
SA,612,66,678
SN,89,15,104
RS,56,14,70
SC,47,9,56
SL,99,4,103
SG,2203,332,2535
SK,229,18,247
SI,41,3,44
SO,82,2,84
ZA,40970,6159,47129
GS,8,2,10
KR,219,14,233
ES,1729,293,2022
LK,416,95,511
LC,98,6,104
SD,103,7,110
SR,20,2,22
SZ,378,94,472
SE,1490,337,1827
CH,4936,1816,6752
SY,21,1,22
TW,171,33,204
TJ,5,1,6
TZ,1574,156,1730
TH,1582,431,2013
BS,500,32,532
GM,41,5,46
NL,888,264,1152
TT,667,53,720
TN,2655,193,2848
TR,353,27,380
TM,27,4,31
TC,61,1,62
UG,13409,780,14189
UA,346,74,420
AE,800,57,857
GB,83195,25865,109060
US,449489,116854,566343
UY,23,8,31
UZ,34,6,40
VE,559,227,786
VN,278,51,329
YE,42,,42
ZM,2376,185,2561
ZW,4698,482,5180
