index,HIV Testing,HIV Prep,total
AL,4583.0,703.0,5286.0
AK,475.0,119.0,594.0
AZ,5486.0,886.0,6372.0
AR,1171.0,163.0,1334.0
CA,54519,18299.0,72818.0
CO,5799.0,1298.0,7097.0
CT,2875.0,669.0,3544.0
DE,596.0,70.0,666.0
FL,36026,8418.0,44444.0
GA,32056,5805.0,37861.0
HI,3596.0,1763.0,5359.0
ID,1132.0,84.0,1216.0
IL,15672,3725.0,19397.0
IN,5460.0,683.0,6143.0
IA,1314.0,240.0,1554.0
KS,1644.0,204.0,1848.0
KY,3169.0,270.0,3439.0
LA,5453.0,653.0,6106.0
ME,214.0,79.0,293.0
MD,11975.0,2126.0,14101.0
MA,8170.0,2735.0,10905.0
MI,7609.0,1218.0,8827.0
MN,3074.0,729.0,3803.0
MS,1584.0,179.0,1763.0
MO,4858.0,840.0,5698.0
MT,586.0,76.0,662.0
NE,1299.0,193.0,1492.0
NV,6289.0,748.0,7037.0
NH,1798.0,396.0,2194.0
NJ,8556.0,3150.0,11706.0
NM,1653.0,214.0,1867.0
NY,49510,19569.0,69079.0
NC,9332.0,2181.0,11513.0
ND,439.0,57.0,496.0
OH,13510,2778.0,16288.0
OK,2143.0,292.0,2435.0
OR,3528.0,646.0,4174.0
PA,12153,4471.0,16624.0
RI,1285.0,269.0,1554.0
SC,3520.0,982.0,4502.0
SD,197.0,33.0,230.0
TN,6787.0,1035.0,7822.0
TX,27925,5160.0,33085.0
UT,3217.0,425.0,3642.0
VT,443.0,53.0,496.0
VA,7465.0,1140.0,8605.0
WA,5276.0,1679.0,6955.0
WV,981.0,111.0,1092.0
WI,2306.0,578.0,2884.0
WY,139.0,19.0,158.0
